市州	区县	城镇居民人均可支配收入	农村居民人均可支配收入	人均GDP
昆明	五华	58465	30273	121831
昆明	盘龙	58694	30426	118158
昆明	官渡	58417	31841	96129
昆明	西山	58222	31235	115961
昆明	东川	44264	14330	51128
昆明	呈贡	58271	30797	100305
昆明	晋宁	53128	24822	65918
昆明	富民	52399	23101	71450
昆明	宜良	53520	23535	55732
昆明	石林	53892	23283	55818
昆明	嵩明	53492	23049	48566
昆明	禄劝	44551	14684	50077
昆明	寻甸	46412	15148	45692
昆明	安宁	57461	28398	149128
曲靖	麒麟	51271	26803	114266
曲靖	沾益	47230	22691	108249
曲靖	马龙	44641	18417	68540
曲靖	陆良	42405	23714	53659
曲靖	师宗	42441	19200	56412
曲靖	罗平	45043	23666	58485
曲靖	富源	47017	20116	44426
曲靖	会泽	42731	16999	49127
曲靖	宣威	48020	19837	40485
玉溪	红塔	52282	26627	187683
玉溪	江川	49447	21263	81933
玉溪	通海	49978	26056	71024
玉溪	华宁	50410	22584	79771
玉溪	易门	49878	21653	105103
玉溪	峨山	50120	20928	99059
玉溪	新平	50597	21558	104705
玉溪	元江	49381	20355	78707
玉溪	澄江	51021	24073	87312
保山	隆阳	49781	20254	52144
保山	施甸	37778	16873	37800
保山	龙陵	38300	17355	54685
保山	昌宁	41057	17780	66136
保山	腾冲	43658	18674	55173
昭通	昭阳	43235	17390	60156
昭通	鲁甸	35109	15388	33416
昭通	巧家	35169	15738	40627
昭通	盐津	35808	15722	34433
昭通	大关	33673	14860	41963
昭通	永善	34490	15419	54394
昭通	绥江	35750	15802	45787
昭通	镇雄	34821	15841	28081
昭通	彝良	33812	14502	35238
昭通	威信	33997	15210	34963
昭通	水富	45240	18023	124128
丽江	古城	52228	28698	83957
丽江	玉龙	38454	18779	57228
丽江	永胜	38131	18633	38577
丽江	华坪	47217	20062	74582
丽江	宁蒗	32175	13021	38760
普洱	思茅	42708	18067	62550
普洱	宁洱	41886	17685	53948
普洱	墨江	38591	16407	44246
普洱	景东	38493	17324	44346
普洱	景谷	41339	17781	59768
普洱	镇沅	38689	17604	54827
普洱	江城	39013	16505	67743
普洱	孟连	33815	16138	48972
普洱	澜沧	37369	16410	38152
普洱	西盟	34014	16232	41037
临沧	临翔	39757	17593	59960
临沧	凤庆	38858	17955	51175
临沧	云县	38445	18319	47528
临沧	永德	37707	17616	42277
临沧	镇康	37742	17233	54315
临沧	双江	37787	17679	59991
临沧	耿马	39729	18822	58432
临沧	沧源	37034	17080	48309
楚雄	楚雄	49632	19020	116089
楚雄	禄丰	48823	19467	79190
楚雄	双柏	48885	17303	73219
楚雄	牟定	48556	17406	81027
楚雄	南华	47954	17859	74446
楚雄	姚安	47741	18692	74745
楚雄	大姚	47972	17860	75314
楚雄	永仁	47893	16997	86139
楚雄	元谋	49629	20381	76983
楚雄	武定	48421	16818	67454
红河	个旧	47484	24758	100756
红河	开远	47685	25042	104580
红河	蒙自	48455	22853	81532
红河	弥勒	47735	22049	104987
红河	屏边	41394	14487	64600
红河	建水	45223	22986	51349
红河	石屏	43250	20696	60114
红河	泸西	42965	20263	50137
红河	元阳	41096	14289	31302
红河	红河	41337	14303	33342
红河	金平	42296	14466	31849
红河	绿春	41310	14324	32309
红河	河口	45439	20129	149723
文山	文山	45117	18399	65964
文山	砚山	44684	17655	63823
文山	西畴	38142	15963	38197
文山	麻栗坡	37299	16679	47614
文山	马关	41273	16844	46781
文山	丘北	37405	16946	30912
文山	广南	36875	15827	27813
文山	富宁	40073	17156	45158
西双版纳	景洪	46014	24728	68135
西双版纳	勐海	40791	18985	65064
西双版纳	勐腊	36069	17938	69295
大理	大理	49209	25480	77867
大理	漾濞	41358	17547	51122
大理	祥云	47266	18991	61888
大理	宾川	45861	24224	56394
大理	弥渡	43880	16278	47288
大理	南涧	44049	15006	58708
大理	巍山	43631	16308	43882
大理	永平	43339	16416	58428
大理	云龙	40622	15702	48833
大理	洱源	44047	17157	38223
大理	剑川	41570	14603	46599
大理	鹤庆	45250	16851	82592
德宏	瑞丽	39741	16361	64220
德宏	芒市	37586	17740	43876
德宏	梁河	33594	13965	34520
德宏	盈江	34186	15652	44949
德宏	陇川	32808	14299	41586
怒江	泸水	34330	11148	56174
怒江	福贡	31410	10767	30145
怒江	贡山	31282	10740	68265
怒江	兰坪	33897	11197	58125
迪庆	香格里拉	47857	14606	98623
迪庆	德钦	49991	14526	90076
迪庆	维西	43204	14424	43595
