市州	区县	城镇居民人均可支配收入	农村居民人均可支配收入	人均GDP	GDP	常住人口
成都	锦江			167449		
成都	青羊			171761		
成都	金牛			131906		
成都	武侯			218492		
成都	成华			106306		
成都	龙泉驿			114782		
成都	青白江			140264		
成都	新都			70796		
成都	温江			75931		
成都	双流			79323		
成都	郫都			89927		
成都	新津			142557		
成都	金堂			87083		
成都	大邑			73716		
成都	蒲江			89406		
成都	都江堰			76446		
成都	彭州			91560		
成都	邛崃			76032		
成都	崇州			69940		
成都	简阳			76474		
自贡	自流井			101605		
自贡	贡井			83557		
自贡	大安			77242		
自贡	沿滩			99904		
自贡	荣县			65169		
自贡	富顺			58315		
攀枝花	东区			145228		
攀枝花	西区			81566		
攀枝花	仁和			107011		
攀枝花	米易			92151		
攀枝花	盐边			105930		
泸州	江阳			108399		
泸州	纳溪			70516		
泸州	龙马潭			95433		
泸州	泸县			64571		
泸州	合江			47992		
泸州	叙永			35036		
泸州	古蔺			41727		
德阳	旌阳			120489		
德阳	罗江			97283		
德阳	中江			51750		
德阳	广汉			95624		
德阳	什邡			125242		
德阳	绵竹			108554		
绵阳	涪城			115339		
绵阳	游仙			97967		
绵阳	安州			71715		
绵阳	三台			60405		
绵阳	盐亭			70235		
绵阳	梓潼			80879		
绵阳	北川			64078		
绵阳	平武			66994		
绵阳	江油			97725		
广元	利州			70990		
广元	昭化			72102		
广元	朝天			75411		
广元	旺苍			56350		
广元	青川			49650		
广元	剑阁			42866		
广元	苍溪			45201		
遂宁	船山			61954		
遂宁	安居			67289		
遂宁	蓬溪			54403		
遂宁	大英			55881		
遂宁	射洪			90058		
内江	市中			85644		
内江	东兴			47190		
内江	威远			91711		
内江	资中			43814		
内江	隆昌			71481		
乐山	市中			59668		
乐山	沙湾			154686		
乐山	五通桥			183426		
乐山	金口河			106983		
乐山	犍为			69542		
乐山	井研			55527		
乐山	夹江			72684		
乐山	沐川			51556		
乐山	峨边			73424		
乐山	马边			44379		
乐山	峨眉山			100964		
南充	顺庆			65934		
南充	高坪			45336		
南充	嘉陵			48966		
南充	南部			60333		
南充	营山			47010		
南充	蓬安			48882		
南充	仪陇			40518		
南充	西充			54084		
南充	阆中			50358		
眉山	东坡			71371		
眉山	彭山			73678		
眉山	仁寿			54291		
眉山	洪雅			59007		
眉山	丹棱			68692		
眉山	青神			72776		
宜宾	翠屏			174641		
宜宾	南溪			69237		
宜宾	叙州			70645		
宜宾	江安			54743		
宜宾	长宁			70198		
宜宾	高县			61598		
宜宾	珙县			68345		
宜宾	筠连			64683		
宜宾	兴文			59332		
宜宾	屏山			52999		
广安	广安			42245		
广安	前锋			78760		
广安	岳池			44276		
广安	武胜			53135		
广安	邻水			42260		
广安	华蓥			77420		
达州	通川			47654		
达州	达川			38794		
达州	宣汉			79625		
达州	开江			43332		
达州	大竹			56197		
达州	渠县			49087		
达州	万源			43963		
雅安	雨城			81345		
雅安	名山			57013		
雅安	荥经			74365		
雅安	汉源			58081		
雅安	石棉			127204		
雅安	天全			76818		
雅安	芦山			74244		
雅安	宝兴			116094		
巴中	巴州			35560		
巴中	恩阳			31919		
巴中	通江			30874		
巴中	南江			34116		
巴中	平昌			32416		
资阳	雁江			56232		
资阳	安岳			41123		
资阳	乐至			50233		
阿坝	马尔康			102776		
阿坝	汶川			120011		
阿坝	理县			104507		
阿坝	茂县			63332		
阿坝	松潘			57571		
阿坝	九寨沟			66275		
阿坝	金川			61390		
阿坝	小金			52825		
阿坝	黑水			78119		
阿坝	壤塘			50020		
阿坝	阿坝			41592		
阿坝	若尔盖			52005		
阿坝	红原			56513		
甘孜	康定			103428		
甘孜	泸定			45299		
甘孜	丹巴			53938		
甘孜	九龙			75978		
甘孜	雅江			81864		
甘孜	道孚			38577		
甘孜	炉霍			39918		
甘孜	甘孜			37170		
甘孜	新龙			40055		
甘孜	德格			28369		
甘孜	白玉			42208		
甘孜	石渠			29566		
甘孜	色达			37686		
甘孜	理塘			44779		
甘孜	巴塘			50181		
甘孜	乡城			68152		
甘孜	稻城			52204		
甘孜	得荣			57085		
凉山	西昌			82743		
凉山	会理			64144		
凉山	木里			58985		
凉山	盐源			54959		
凉山	德昌			49913		
凉山	会东			60444		
凉山	宁南			59068		
凉山	普格			25429		
凉山	布拖			28341		
凉山	金阳			38027		
凉山	昭觉			24867		
凉山	喜德			29158		
凉山	冕宁			42087		
凉山	越西			26907		
凉山	甘洛			32000		
凉山	美姑			22201		
凉山	雷波			39763		
