市州	区县	城镇居民人均可支配收入	农村居民人均可支配收入	人均GDP	GDP	常住人口
合肥	瑶海	64235				
合肥	庐阳	71225				
合肥	蜀山	72424				
合肥	包河	73421				
合肥	长丰	50951	32018	124017		
合肥	肥东	53214	35041	101097		
合肥	肥西	56285	35772	120043		
合肥	庐江	47559	31020	82565		
合肥	巢湖	50833	32574	92005		
淮北	杜集	44151	21117			
淮北	相山	51625	20422			
淮北	烈山	42218	20162			
淮北	濉溪	41293	19847	70877		
亳州	谯城	47628	22922			
亳州	涡阳	38744	19359	47940		
亳州	蒙城	43907	21311	51413		
亳州	利辛	42972	19179	42617		
宿州	埇桥	46882	19897			
宿州	砀山	41153	19803	38442		
宿州	萧县	40644	19234	47619		
宿州	灵璧	38454	19551	37114		
宿州	泗县	38811	18612	43428		
蚌埠	龙子湖	60056	22374			
蚌埠	蚌山	53580	22974			
蚌埠	禹会	47811	21879			
蚌埠	淮上	49429	22038			
蚌埠	怀远	43212	24062	43975		
蚌埠	五河	42567	23984	63342		
蚌埠	固镇	43006	24070	66224		
阜阳	颍州	48194	22146			
阜阳	颍东	40906	18269			
阜阳	颍泉	43178	19579			
阜阳	界首	45256	21279	64026		
阜阳	临泉	39676	18851	35210		
阜阳	太和	43188	19662	39291		
阜阳	阜南	39524	18528	32591		
阜阳	颍上	42665	19590	49422		
淮南	大通	49681	23500			
淮南	田家庵	56041	25069			
淮南	谢家集	48621	23870			
淮南	八公山	44852	24192			
淮南	潘集	48706	22260			
淮南	凤台	46186	22484	74332		
淮南	寿县	36473	17378	38259		
滁州	琅琊	53838	22663			
滁州	南谯	51959	22055			
滁州	天长	48666	29968	126791		
滁州	明光	41422	19983	65883		
滁州	来安	47710	21315	94368		
滁州	全椒	43066	21798	92863		
滁州	定远	41298	19796	61967		
滁州	凤阳	37864	18853	91725		
六安	金安	47715	21165			
六安	裕安	48310	21426			
六安	叶集	39866	19392			
六安	霍邱	37809	18641	36285		
六安	舒城	39673	20194	60806		
六安	金寨	36674	18856	58170		
六安	霍山	42477	22126	83475		
马鞍山	花山	77336	46007			
马鞍山	雨山	80564	45077			
马鞍山	博望	61579	37741			
马鞍山	当涂	55870	40022	149465		
马鞍山	含山	47256	31076	94359		
马鞍山	和县	48952	31112	102987		
芜湖	镜湖	64234	40773			
芜湖	弋江	59777				
芜湖	鸠江	57639	35824			
芜湖	湾沚	53843	36502			
芜湖	繁昌	53538	36262			
芜湖	三山	51467	35831			
芜湖	无为	52154	29736	85514		
芜湖	南陵	51278	36276	84680		
宣城	宣州	53594	25721			
宣城	宁国	59276	28479	124289		
宣城	广德	57781	28699	83962		
宣城	郎溪	52180	24605	76160		
宣城	泾县	44157	22741	64356		
宣城	绩溪	48321	20852	78434		
宣城	旌德	38495	20088	63505		
铜陵	铜官	61971	42765			
铜陵	郊区	48811	36287			
铜陵	义安	47576	22114			
铜陵	枞阳	37038	19935	46542		
池州	贵池	47058	24861			
池州	东至	43309	23949	73167		
池州	石台	39568	17382	60052		
池州	青阳	46267	25197	86243		
安庆	迎江	57995	26131			
安庆	大观	56834	25374			
安庆	宜秀	41080	26226			
安庆	桐城	44905	24491	90584		
安庆	潜山	43987	19428	60927		
安庆	怀宁	46380	23611	80062		
安庆	太湖	38963	18550	56788		
安庆	宿松	37972	18606	50367		
安庆	望江	39809	18812	52654		
安庆	岳西	37770	18709	47319		
黄山	屯溪	52197	26417			
黄山	黄山	49978	25694			
黄山	徽州	52355	26225			
黄山	歙县	43667	24886	79269		
黄山	休宁	43591	24621	74191		
黄山	黟县	42090	25413	85486		
黄山	祁门	43453	24586	73781		
