市州	区县	城镇居民人均可支配收入	农村居民人均可支配收入	人均GDP	GDP	常住人口
南宁	兴宁	50702 	23417 	68806.1557593658	44263000000	643300
南宁	青秀	60666 	24395 	130818.991611174	151266000000	1156300
南宁	江南	45382 	23678 	68091.4004914005	69283000000	1017500
南宁	西乡塘	44445 	21692 	62757.6551888478	105345000000	1678600
南宁	良庆	40822 	23468 	86213.122682573	53478000000	620300
南宁	邕宁	42371 	22564 	57746.4788732394	20090000000	347900
南宁	武鸣	44815 	25486 	65853.7970191625	46394000000	704500
南宁	隆安	35815 	19104 	43076.9230769231	14168000000	328900
南宁	马山	35848 	17493 	30386.9281045752	11623000000	382500
南宁	上林	35390 	18063 	33672.9074889868	12230000000	363200
南宁	宾阳	43257 	22149 	38245.3777396841	31235000000	816700
南宁	横州	43979 	21861 	44026.529269897	40161000000	912200
柳州	城中	55807 		189594.095940959	46242000000	243900
柳州	鱼峰	50912 	35792 	78532.3420074349	52813000000	672500
柳州	柳南	52297 	32735 	77464.7887323944	47850000000	617700
柳州	柳北	50952 	26712 	99003.3222591362	47680000000	481600
柳州	柳江	46636 	21796 	47510.4560844453	23855000000	502100
柳州	柳城	43189 	22130 	70566.5813060179	22045000000	312400
柳州	鹿寨	46407 	22676 	59830.1043219076	20073000000	335500
柳州	融安	38254 	20766 	49426.7515923567	12416000000	251200
柳州	融水	38508 	20508 	33612.9345976173	13825000000	411300
柳州	三江	37826 	19828 	26013.2158590308	8267000000	317800
桂林	秀峰	46220 		65154.8946716233	10516000000	161400
桂林	叠彩	46160 		47140.0491400491	9593000000	203500
桂林	象山	46894 		71059.9721059972	20380000000	286800
桂林	七星	48621 		79229.3906810036	30947000000	390600
桂林	雁山	43660 	21282 	33488.0239520958	4474000000	133600
桂林	临桂	48662 	26192 	55854.7387068202	31530000000	564500
桂林	阳朔	49936 	26260 	46286.7647058824	12590000000	272000
桂林	灵川	47119 	24324 	46070.1754385965	19695000000	427500
桂林	全州	43943 	23947 	37448.2392496903	21162000000	565100
桂林	兴安	45707 	27349 	56176.759410802	17162000000	305500
桂林	永福	46740 	22261 	54719.7898423818	12498000000	228400
桂林	灌阳	42756 	17459 	41893.7198067633	8672000000	207000
桂林	龙胜	43108 	19070 	48586.9565217391	6705000000	138000
桂林	资源	43198 	18277 	46615.9420289855	6433000000	138000
桂林	平乐	44304 	22298 	44071.9976394217	14936000000	338900
桂林	恭城	42581 	19886 	45372.9508196721	11071000000	244000
桂林	荔浦	44499 	23363 	40098.9208633094	13377000000	333600
梧州	万秀	43570 	25834 	100499.632623071	27356000000	272200
梧州	长洲	44252 	24174 	83479.5514511873	25311000000	303200
梧州	龙圩	38910 	19251 	78605.4539178461	22772000000	289700
