市州	区县	城镇居民人均可支配收入	农村居民人均可支配收入	人均GDP	GDP	常住人口
南昌	东湖	58822 				
南昌	西湖	58744 				
南昌	青云谱	57263 				
南昌	青山湖	57475 				
南昌	新建	51522 	27698 			
南昌	红谷滩	59353 	27452 			
南昌	南昌	52917 	30490 			
南昌	安义	47517 	25458 			
南昌	进贤	48692 	28114 			
景德镇	昌江	52929 	26010 			
景德镇	珠山	53828 				
景德镇	浮梁	41851 	26189 			
景德镇	乐平	47880 	24870 			
萍乡	安源	51084 	30661 			
萍乡	湘东	49394 	27895 			
萍乡	莲花	33924 	18274 			
萍乡	上栗	45547 	27068 			
萍乡	芦溪	46091 	28296 			
九江	濂溪	52248 	28411 			
九江	浔阳	52249 				
九江	柴桑	46546 	24811 			
九江	武宁	46351 	24144 			
九江	修水	40783 	18250 			
九江	永修	47639 	25592 			
九江	德安	48847 	25859 			
九江	庐山	44318 	23153 			
九江	都昌	35549 	15015 			
九江	湖口	49150 	24641 			
九江	彭泽	44689 	24592 			
九江	瑞昌	46863 	24369 			
九江	共青城	49557 	25829 			
新余	渝水	52373 	27132 			
新余	分宜	43941 	25918 			
鹰潭	月湖	52453 	26329 			
鹰潭	余江	45926 	26176 			
鹰潭	贵溪	49443 	24781 			
赣州	章贡	57464 	25972 			
赣州	赣县	42376 	18725 			
赣州	信丰	43944 	21991 			
赣州	大余	38974 	19094 			
赣州	上犹	37910 	18432 			
赣州	崇义	39526 	17619 			
赣州	安远	35056 	17425 			
赣州	龙南	42678 	19179 			
赣州	定南	39395 	17951 			
赣州	全南	38300 	15942 			
赣州	宁都	35125 	17938 			
赣州	于都	41114 	18030 			
赣州	兴国	39111 	18273 			
赣州	会昌	38194 	18521 			
赣州	寻乌	37112 	19215 			
赣州	石城	35766 	17948 			
赣州	瑞金	43113 	19354 			
赣州	南康	45733 	19191 			
吉安	吉州	53155 	26652 			
吉安	青原	51228 	21742 			
吉安	吉安	44756 	19919 			
吉安	吉水	42195 	26033 			
吉安	峡江	39613 	20187 			
吉安	新干	45931 	25022 			
吉安	永丰	44450 	26271 			
吉安	泰和	41359 	23967 			
吉安	遂川	38600 	19010 			
吉安	万安	38357 	18652 			
吉安	安福	41183 	23388 			
吉安	永新	35295 	18116 			
吉安	井冈山	48252 	18834 			
宜春	袁州	50102 	22468 			
宜春	奉新	46083 	25863 			
宜春	万载	40815 	18687 			
宜春	上高	45928 	26326 			
宜春	宜丰	44918 	23887 			
宜春	靖安	42690 	22155 			
宜春	铜鼓	35841 	15915 			
宜春	丰城	48378 	26764 			
宜春	樟树	49379 	25890 			
宜春	高安	46526 	25710 			
抚州	临川	56477 	28873 			
抚州	南城	48194 	26333 			
抚州	黎川	39056 	21592 			
抚州	南丰	44981 	32675 			
抚州	崇仁	40608 	27231 			
抚州	乐安	33806 	17137 			
抚州	宜黄	38633 	22095 			
抚州	金溪	42609 	23150 			
抚州	资溪	38055 	22155 			
抚州	东乡	49433 	26932 			
抚州	广昌	36940 	18098 			
上饶	信州	52102 	26462 			
上饶	广信	40277 	18263 			
上饶	广丰	52865 	25823 			
上饶	玉山	45305 	24399 			
上饶	铅山	36998 	20179 			
上饶	横峰	34730 	18562 			
上饶	弋阳	45021 	21935 			
上饶	余干	35161 	18209 			
上饶	鄱阳	34635 	18271 			
上饶	万年	45236 	21630 			
上饶	婺源	37260 	21773 			
上饶	德兴	48370 	23940 			
