市州	区县	城镇居民人均可支配收入	农村居民人均可支配收入	人均GDP	GDP	常住人口
海口	海口	48132	23623	81904		
三亚	三亚	47666	24599	90428		
儋州	儋州	41024	22633	99579		
五指山	五指山	39365	19408	43691		
文昌	文昌	42295	23046	68982		
琼海	琼海	42578	24300	71898		
万宁	万宁	41391	23253	63229		
定安	定安	39025	20961	48543		
屯昌	屯昌	40377	21814	45603		
澄迈	澄迈	42334	23456	108652		
临高	临高	37279	20609	61672		
东方	东方	43079	21992	58938		
乐东	乐东	37438	21575	48184		
琼中	琼中	40515	20018	49213		
保亭	保亭	40665	19762	55375		
陵水	陵水	39299	20966	71871		
白沙	白沙	39498	19697	44093		
昌江	昌江	44038	21227	69966		
