市州	区县	城镇居民人均可支配收入	农村居民人均可支配收入	人均GDP	GDP	常住人口
武汉	江岸					1051300
武汉	江汉					690700
武汉	硚口					750200
武汉	汉阳					900800
武汉	武昌					1281800
武汉	青山					513000
武汉	洪山					2718800
武汉	东西湖					925800
武汉	汉南					200500
武汉	蔡甸	48355	31506	57299.28424631	64232497640.1135	1121000
武汉	江夏	48811	33471	90390.5466668682	132738517780.296	1468500
武汉	黄陂	49543	31838	96061.2771440668	120134233196.37	1250600
武汉	新洲	45065	30085	66847.9696200293	62576384361.3094	936100
黄石	黄石港					230500
黄石	西塞山					193200
黄石	下陆					216800
黄石	铁山					39600
黄石	大冶	55237	30722	107933.882180408	93071386604.1658	862300
黄石	阳新	39415	18772	60089.5940990142	53653998571.0098	892900
十堰	茅箭					572400
十堰	张湾					411100
十堰	郧阳	38126	16616	61997.330604447	24464146656.5148	394600
十堰	郧西	36374	16084	39558.1817851323	14438736351.5733	365000
十堰	竹山	36162	16133	49326.3605360739	16953470116.2486	343700
十堰	竹溪	36904	15825	50564.2721896838	14213616912.5201	281100
十堰	房县	37996	16424	57127.9317030852	21057355625.7572	368600
十堰	丹江口	40182	18516	98660.9057429803	40026729459.9271	405700
宜昌	西陵					534100
宜昌	伍家岗					337900
宜昌	点军					105500
宜昌	猇亭					69200
宜昌	夷陵	52759	32842	151194.348231162	84759551618.3896	560600
宜昌	远安	45781	29609	139937.802742948	24796978646.0504	177200
宜昌	兴山	39757	19936	122159.070659655	17676417524.4521	144700
宜昌	秭归	38118	17217	75149.2309125037	23333836198.3324	310500
宜昌	长阳	39695	16874	71896.069711188	22942035844.8401	319100
宜昌	五峰	36700	16491	75805.9487391712	12265402505.9979	161800
宜昌	宜都	53104	32805	268704.185834935	96303580203.2408	358400
宜昌	当阳	48717	33305	158748.495922868	66467995242.9049	418700
宜昌	枝江	48113	33556	210055.250355555	90071691352.4618	428800
襄阳	襄城					476500
襄阳	樊城					930900
襄阳	襄州	45507	28623	91882.9087457079	85644059241.8743	932100
襄阳	南漳	45593	24549	91496.7377554886	41631015678.7473	455000
襄阳	谷城	46947	25128	109886.038199077	53063967846.3342	482900
襄阳	保康	40500	18586	96754.8366416992	21547302120.1064	222700
襄阳	老河口	49925	27802	120379.642391948	50715943339.7278	421300
襄阳	枣阳	50778	27460	98345.0409014758	87458244873.6824	889300
襄阳	宜城	45500	27767	112112.373485009	52580703164.4694	469000
鄂州	梁子湖					125500
鄂州	华容	41307	28364	187087.200946745	47351770559.6212	253100
鄂州	鄂城	47209	28359	109139.680215421	75764766005.5456	694200
荆门	东宝	49459	28864	141466.939281657	49739775851.4306	351600
荆门	掇刀					427200
荆门	京山	44060	27359	81326.9118139375	43184590173.2008	531000
荆门	沙洋	43541	27815	85877.4841347591	33329051592.7	388100
荆门	钟祥	44461	28229	76998.9452559205	65664700514.249	852800
孝感	孝南	49491	27908	69059.129715455	67802253554.6337	981800
孝感	孝昌	40222	17497	46285.1714200978	21767916118.872	470300
孝感	大悟	39858	17933	51040.0280644574	24126621266.069	472700
孝感	云梦	47281	28111	66999.0361482317	28199894314.7907	420900
孝感	应城	48449	28785	114898.226122738	53151919404.3787	462600
孝感	安陆	46189	24208	75782.6929481215	36800075695.6078	485600
孝感	汉川	47287	27871	107067.460200195	94005230055.7716	878000
荆州	沙市					687800
荆州	荆州	50557	29036	74160.8099176563	43428570287.7795	585600
荆州	公安	43937	27342	61754.9710706787	44883512974.1693	726800
荆州	监利	39878	25421	43811.6455159172	45095326729.5336	1029300
荆州	江陵	40609	23474	61409.8765631629	18515077783.7936	301500
荆州	石首	42208	25977	65315.7509823162	30162813803.6336	461800
荆州	洪湖	42751	25805	59162.0411398477	40715316712.4432	688200
荆州	松滋	43154	26405	86739.2649203034	55729977711.2949	642500
黄冈	黄州	46457	25453	71235.1314473544	36564992971.927	513300
黄冈	团风	36535	19200	58019.9518450643	15334673272.6505	264300
黄冈	红安	37309	17843	56395.1831789302	27949452783.4778	495600
