市州	区县	城镇居民人均可支配收入	农村居民人均可支配收入	人均GDP	GDP	常住人口
长沙	芙蓉	74385.2 		206531		
长沙	天心	74463.9 		160358		
长沙	岳麓	74269.0 		127668		
长沙	开福	73432.1 		143405		
长沙	雨花	75168.8 		186008		
长沙	望城	64892.0 	49394.2 	120589		
长沙	长沙	64199.4 	48661.0 	156961		
长沙	浏阳	63130.0 	48588.0 	124680		
长沙	宁乡	58980.0 	41627.7 	110204		
株洲	荷塘	62666.0 		88263		
株洲	芦淞	65942.6 		166025		
株洲	石峰	62947.0 		135163		
株洲	天元	71861.1 		123352		
株洲	渌口	47276.0 	29156.0 	75362		
株洲	攸县	53210.3 	39611.0 	80546		
株洲	茶陵	46129.1 	16028.4 	59873		
株洲	炎陵	39414.0 	14867.4 	69911		
株洲	醴陵	55053.1 	40359.2 	109831		
湘潭	雨湖	52354.3 	46772.8 	137436		
湘潭	岳塘	51341.0 	47070.4 	149988		
湘潭	湘潭	48103.1 	28861.0 	81047		
湘潭	湘乡	48478.7 	28312.4 	86957		
湘潭	韶山	56075.0 	40617.0 	122808		
衡阳	珠晖	51108.0 		88521		
衡阳	雁峰	49638.0 		116034		
衡阳	石鼓	52584.9 		138656		
衡阳	蒸湘	50821.2 		102795		
衡阳	南岳	56380.0 		90140		
衡阳	衡阳	47068.9 	28196.2 	56500		
衡阳	衡南	46476.0 	32106.0 	59962		
衡阳	衡山	46895.0 	31961.0 	78069		
衡阳	衡东	46637.5 	30513.2 	72223		
衡阳	祁东	38028.1 	22524.1 	55929		
衡阳	耒阳	48556.3 	31618.2 	47261		
衡阳	常宁	46028.1 	26748.1 	65682		
邵阳	双清	42999.0 	30526.0 	71755		
邵阳	大祥	42092.8 	30144.1 	66254		
邵阳	北塔	38286.5 	27416.9 	57582		
邵阳	新邵	37980.9 	18141.4 	35770		
邵阳	邵阳	37116.0 	18076.7 	33052		
邵阳	隆回	35230.1 	17699.1 	32982		
邵阳	洞口	37762.2 	17829.5 	37138		
邵阳	绥宁	34534.6 	16530.6 	42055		
邵阳	新宁	36027.2 	16386.4 	30788		
邵阳	城步	31853.0 	14482.9 	33296		
邵阳	武冈	37964.9 	20173.9 	38825		
邵阳	邵东	47942.0 	33506.0 	80622		
岳阳	岳阳楼	50616.2 		170734		
岳阳	云溪	52717.5 		232668		
岳阳	君山	45152.5 	28737.4 	112565		
岳阳	岳阳	40199.5 	26073.3 	83927		
岳阳	华容	41780.0 	30296.0 	76790		
岳阳	湘阴	43139.2 	28403.6 	83824		
岳阳	平江	33236.2 	15528.9 	56362		
岳阳	汨罗	44651.0 	27702.3 	96304		
岳阳	临湘	41004.4 	24989.4 	85907		
常德	武陵	53207.1 	40793.1 	184074		
常德	鼎城	47177.0 	24921.0 	75249		
常德	安乡	37274.3 	24405.5 	69226		
常德	汉寿	43628.0 	26207.0 	63561		
常德	澧县	40935.0 	25845.3 	71510		
常德	临澧	44856.0 	26590.2 	76339		
常德	桃源	41669.1 	23690.3 	66487		
常德	石门	35067.1 	19264.3 	70680		
常德	津市	46885.3 	24364.7 	110071		
张家界	永定	39086.3 	16127.3 	52452		
张家界	武陵源	40396.3 	20676.4 	91078		
张家界	慈利	33829.9 	17386.1 	37407		
张家界	桑植	23575.3 	13687.3 	34188		
益阳	资阳	43095.1 	29237.1 	69551		
益阳	赫山	51770.7 	30311.2 	82534		
益阳	南县	40089.9 	25546.0 	62891		
益阳	桃江	41007.0 	24134.9 	50342		
益阳	安化	25705.0 	14977.0 	40095		
益阳	沅江	47531.9 	28322.3 	58372		
郴州	北湖	51968.3 	34346.4 	95302		
郴州	苏仙	49651.9 	31532.8 	103685		
郴州	桂阳	48566.7 	30280.2 	71736		
郴州	宜章	41756.2 	15677.9 	53645		
郴州	永兴	45785.0 	27880.0 	82688		
郴州	嘉禾	39702.0 	25118.1 	51887		
郴州	临武	38714.4 	20529.0 	53441		
郴州	汝城	30526.5 	16131.5 	35588		
郴州	桂东	28857.3 	15355.4 	36322		
郴州	安仁	35406.0 	17828.4 	45142		
郴州	资兴	48739.1 	30979.9 	134396		
永州	零陵	42598.0 	29325.0 	53393		
永州	冷水滩	46302.0 	31360.0 	80001		
永州	东安	42611.7 	22957.0 	49966		
永州	双牌	36270.3 	14121.2 	65062		
永州	道县	39155.0 	24568.1 	51483		
永州	江永	34291.3 	15980.0 	52658		
永州	宁远	38064.9 	22701.9 	45009		
永州	蓝山	41340.0 	22849.0 	53376		
永州	新田	35307.0 	14804.3 	34067		
永州	江华	35123.0 	16692.0 	39781		
永州	祁阳	44660.8 	21662.6 	57745		
怀化	鹤城	45066.1 	23791.0 	67009		
怀化	中方	38776.6 	18527.7 	61823		
怀化	沅陵	33052.8 	16212.5 	44365		
怀化	辰溪	33730.5 	16632.6 	39318		
怀化	溆浦	33564.0 	18569.7 	32393		
怀化	会同	32037.9 	16933.2 	40668		
怀化	麻阳	33094.0 	14633.2 	45139		
怀化	新晃	30369.9 	14759.0 	47352		
怀化	芷江	34065.9 	15162.3 	45290		
怀化	靖州	31577.4 	16444.2 	50945		
怀化	通道	29956.0 	14117.0 	38460		
怀化	洪江	34233.5 	18255.1 	44073		
娄底	娄星	46967.2 	30453.0 	103249		
娄底	双峰	30193.6 	19876.7 	49617		
娄底	新化	30192.8 	14568.0 	32829		
娄底	冷水江	48650.3 	31276.4 	78698		
娄底	涟源	31819.7 	16885.7 	45861		
湘西	吉首	41801.1 	17298.0 	56804		
湘西	泸溪	32872.0 	14080.0 	35606		
湘西	凤凰	34390.2 	16518.0 	31355		
湘西	花垣	34092.0 	14607.3 	33876		
湘西	保靖	31477.0 	15962.0 	35910		
湘西	古丈	29343.0 	13240.5 	33407		
湘西	永顺	29729.1 	13630.2 	27727		
湘西	龙山	30870.4 	15392.4 	26311		
