市州	区县	城镇居民人均可支配收入	农村居民人均可支配收入	人均GDP	GDP	常住人口
贵阳	南明	51525		99891		
贵阳	云岩	51820		94850		
贵阳	花溪	49926	26163	93485		
贵阳	乌当	49312	27284	68470		
贵阳	白云	49328	28711	67368		
贵阳	观山湖	50256	27635	116695		
贵阳	开阳	49305	24487	93199		
贵阳	息烽	48353	23448	94843		
贵阳	修文	48623	23457	72169		
贵阳	清镇	49329	24685	52483		
六盘水	钟山	45454	21330	50155		
六盘水	六枝	40345	15937	34442		
六盘水	水城	40122	15525	62707		
六盘水	盘州	41573	17177	68325		
遵义	红花岗	50374	23576	57013		
遵义	汇川	50457	23617	84754		
遵义	播州	49313	23057	54552		
遵义	桐梓	41808	19449	40750		
遵义	绥阳	43526	20657	39261		
遵义	正安	41867	16887	39998		
遵义	道真	41770	16657	46036		
遵义	务川	41805	16602	35128		
遵义	凤冈	41372	18472	39980		
遵义	湄潭	45195	21723	42292		
遵义	余庆	41310	18951	51371		
遵义	习水	44184	17667	52353		
遵义	赤水	45303	20412	55541		
遵义	仁怀	50589	20349	300057		
安顺	西秀	44313	19292	54816		
安顺	平坝	41228	16651	50508		
安顺	普定	39591	14996	43115		
安顺	镇宁	39355	14467	45515		
安顺	关岭	39223	14391	45835		
安顺	紫云	37464	14366	36332		
毕节	七星关	44626	15637	47157		
毕节	大方	41367	15561	33767		
毕节	金沙	44280	16832	53257		
毕节	织金	41127	15426	37240		
毕节	纳雍	41243	14594	30016		
毕节	威宁	40901	15418	27231		
毕节	赫章	40456	14437	30986		
毕节	黔西	41763	15798	38317		
铜仁	碧江	45292	21015	61267		
铜仁	万山	42520	15362	59812		
铜仁	江口	41734	15105	53004		
铜仁	玉屏	42483	18871	77767		
铜仁	石阡	40376	14930	54662		
铜仁	思南	40865	14756	44689		
铜仁	印江	40337	14659	53543		
铜仁	德江	41268	14737	47435		
铜仁	沿河	39701	14647	39123		
铜仁	松桃	40420	14754	49645		
黔西南	兴义	45816	19593	55961		
黔西南	兴仁	41841	15199	47953		
黔西南	普安	41528	14408	44796		
黔西南	晴隆	40996	13609	43709		
黔西南	贞丰	41669	14990	51687		
黔西南	望谟	40988	13361	47368		
黔西南	册亨	41224	13633	48226		
黔西南	安龙	41498	14618	41349		
黔东南	凯里	45196	19368	46433		
黔东南	黄平	42024	14532	31757		
黔东南	施秉	41834	15830	39654		
黔东南	三穗	42827	15680	38195		
黔东南	镇远	41728	15357	39505		
黔东南	岑巩	41687	15454	42937		
黔东南	天柱	41553	15625	35970		
黔东南	锦屏	40570	14252	42061		
黔东南	剑河	41350	14369	37520		
黔东南	台江	40270	14059	45429		
黔东南	黎平	41796	14423	29077		
黔东南	榕江	41148	14679	35321		
黔东南	从江	42606	15364	29747		
黔东南	雷山	41673	15300	41473		
黔东南	麻江	41022	14777	41477		
黔东南	丹寨	42747	15090	38375		
黔南	都匀	47534	19833	55234		
黔南	福泉	46429	18144	100382		
黔南	荔波	43053	16763	52925		
黔南	贵定	42439	17644	55939		
黔南	瓮安	44585	18260	53232		
黔南	独山	42556	17445	55089		
黔南	平塘	41218	16513	49989		
黔南	罗甸	40791	17262	43068		
黔南	长顺	40674	16944	51481		
黔南	龙里	45567	18626	71806		
黔南	惠水	43301	17789	41824		
黔南	三都	40773	16873	39578		
