市州	区县	城镇居民人均可支配收入	农村居民人均可支配收入	人均GDP	GDP	常住人口
重庆	万州	54125	23639	79253		
重庆	黔江	46302	19087	79696		
重庆	涪陵	52541	22893	155188		
重庆	渝中	57737		294230		
重庆	大渡口	52365		114417		
重庆	江北	56765		202129		
重庆	沙坪坝	53355		81801		
重庆	九龙坡	55859	30521	133421		
重庆	南岸	53784		93507		
重庆	北碚	52722	28039	109488		
重庆	渝北	55510	27602	121798		
重庆	巴南	54866	28189	98179		
重庆	长寿	48257	23359	158503		
重庆	江津	51429	28202	111648		
重庆	合川	48474	26116	77492		
重庆	永川	51577	27827	104347		
重庆	南川	46749	22381	90732		
重庆	綦江	42847	22060	72525		
重庆	大足	48305	25138	78984		
重庆	璧山	53329	28099	135656		
重庆	铜梁	51364	27075	114952		
重庆	潼南	46694	23248	69572		
重庆	荣昌	49135	25624	92865		
重庆	开州	44801	21762	61033		
重庆	梁平	49637	24273	79971		
重庆	武隆	49949	20900	72111		
重庆	城口	37272	15259	38606		
重庆	丰都	45350	21672	78992		
重庆	垫江	49633	24855	88266		
重庆	忠县	50371	23483	85646		
重庆	云阳	39709	19265	69972		
重庆	奉节	39694	18023	56173		
重庆	巫山	42614	16669	56058		
重庆	巫溪	34637	15021	41031		
重庆	石柱	44719	21125	74637		
重庆	秀山	46235	18285	89767		
重庆	酉阳	35877	15868	42333		
重庆	彭水	40840	18090	75028		
